Name,diameter,H,albedo,date_closest,closest distance
422699 (2000 PD3),0.619,18.16,0.220,2029-03-09 00:00:00,167398277.0891512
423321 (2005 ED318),0.202,20.80,0.212,2025-08-10 00:00:00,100220743.09413013
433953 (1997 XR2),0.259,20.70,0.115,2025-06-15 00:00:00,15938149.804417253
434096 (2002 GO5),0.528,18.10,0.431,2023-01-18 00:00:00,80471572.49093309
434633 (2005 WB1),0.310,20.90,0.039,2025-05-26 00:00:00,8727907.986990672
436329 (2010 GX62),0.622,20.10,0.012,2025-06-27 00:00:00,180484300.43315068
436671 (2011 SV71),2.159,17.90,0.024,2028-04-10 00:00:00,127365007.23655842
441987 (2010 NY65),0.228,21.39,0.071,2023-06-28 00:00:00,13530946.844786247
442037 (2010 PR66),0.695,19.21,0.063,2025-07-30 00:00:00,26869946.17925876
443806 (1998 FL3),0.288,22.00,0.034,2029-03-03 00:00:00,91146678.61446027
443880 (2001 UZ16),0.228,19.40,0.593,2029-09-20 00:00:00,24800335.247392785
444193 (2005 SE71),0.437,18.14,0.503,2027-11-09 00:00:00,28427771.322736274
445305 (2010 DM56),0.762,19.76,0.025,2027-09-16 00:00:00,8884479.84456945
451124 (2009 KC3),2.188,18.00,0.023,2026-11-25 00:00:00,187344839.92208838
453707 (2010 XY72),0.495,18.80,0.261,2027-10-30 00:00:00,7221566.377146591
454094 (2013 BZ45),0.167,21.90,0.110,2023-09-10 00:00:00,84325965.54805829
454100 (2013 BO73),0.548,20.18,0.054,2024-12-07 00:00:00,110385302.39139651
455299 (2002 EL6),0.537,18.00,0.386,2023-04-18 00:00:00,74993064.89130624
458436 (2011 AL52),1.102,17.40,0.159,2029-12-03 00:00:00,20704149.914562352
459683 (2013 MY5),0.269,19.70,0.322,2028-08-03 00:00:00,42674362.14362008
462238 (2008 CN1),0.227,20.60,0.197,2029-03-17 00:00:00,8798009.708348487
468468 (2004 KH17),0.197,21.90,0.072,2025-05-27 00:00:00,24039449.07481023
468727 (2010 JE87),0.308,20.80,0.108,2027-01-30 00:00:00,14628819.4175705
469445 (2002 LT24),0.143,22.05,0.136,2024-06-28 00:00:00,8305457.991780552
471241 (2011 BX18),1.451,18.24,0.044,2026-02-16 00:00:00,121701642.99619544
477519 (2010 DJ56),0.321,19.23,0.327,2027-08-25 00:00:00,66464845.10430815
480936 (2003 QH5),0.537,20.23,0.056,2027-08-12 00:00:00,50599679.13409247
483508 (2003 CR1),0.202,20.10,0.433,2024-01-20 00:00:00,12757867.636966364
484402 (2007 XH16),0.452,19.68,0.125,2029-12-21 00:00:00,11249926.173635077
488789 (2004 XK50),1.039,19.30,0.038,2025-12-25 00:00:00,7960022.462000897
490581 (2009 WZ104),0.237,19.96,0.314,2028-12-14 00:00:00,4781371.581288607
496816 (1989 UP),0.3,20.50,,2023-01-24 00:00:00,48698609.46459615
496817 (1989 VB),0.4,19.90,,2023-01-01 00:00:00,84300871.04301876
499582 (2010 TH19),0.461,20.51,0.044,2026-12-02 00:00:00,13005117.204640104
503941 (2003 UV11),0.260,19.50,0.376,2024-11-02 00:00:00,14376531.0978753
504800 (2010 CO1),0.380,21.90,0.032,2023-09-29 00:00:00,71578747.82049187
505657 (2014 SR339),0.971,18.54,0.068,2023-08-31 00:00:00,49745244.94190852
506074 (2015 UM67),0.665,18.95,0.110,2027-03-19 00:00:00,7317164.279576354
510055 (2010 FH81),0.200,21.57,0.094,2029-05-28 00:00:00,23223387.600012764
511008 (2013 PX6),1.647,18.50,0.028,2026-05-14 00:00:00,284762217.42195874
511684 (2015 BN509),0.315,20.82,0.093,2023-02-04 00:00:00,45569123.26690986
523589 (2001 HA4),1.851,17.70,0.047,2023-04-03 00:00:00,41018693.776758276
523664 (2012 OD1),0.346,18.54,0.536,2024-07-28 00:00:00,5722248.318848231
523775 (2014 YB35),0.279,19.00,0.569,2028-01-14 00:00:00,126242857.32408772
523816 (2009 ST103),0.851,18.10,0.141,2023-05-03 00:00:00,150911064.69293034
529668 (2010 JL33),1.778,17.71,0.047,2024-01-13 00:00:00,109844527.40390153
529753 (2010 MF1),0.363,19.60,0.178,2026-05-07 00:00:00,160412938.11174002
533722 (2014 NE52),0.701,18.00,0.249,2025-12-03 00:00:00,15838835.060616756
538212 (2016 CA136),0.654,19.39,0.079,2027-06-02 00:00:00,25029704.400951408
